List;Item;Order;Target;Sentence;CritWord;LSA to correct;
3;10;verb-final;literal;Het slachthuis was niet blij met de geheime videobeelden, omdat ze op hun wang gingen voor de inspectie.;wang;0,70;
5;10;verb-final;unrelated;Het slachthuis was niet blij met de geheime videobeelden, omdat ze op hun brief gingen voor de inspectie.;brief;0,09;
1;11;verb-final;correct;Tijdens het popconcert stond Emma te springen, omdat ze uit haar dak ging met haar vriendinnen.;dak;NA;
3;11;verb-final;literal;Tijdens het popconcert stond Emma te springen, omdat ze uit haar pan ging met haar vriendinnen.;pan;0,59;
5;11;verb-final;unrelated;Tijdens het popconcert stond Emma te springen, omdat ze uit haar les ging met haar vriendinnen.;les;0,07;
1;12;verb-final;correct;De uitgeschakelde tennisser was erg teleurgesteld, omdat hij voor de bijl ging na slechts twee sets.;bijl;NA;
3;12;verb-final;literal;De uitgeschakelde tennisser was erg teleurgesteld, omdat hij voor de zaag ging na slechts twee sets.;zaag;0,32;
5;12;verb-final;unrelated;De uitgeschakelde tennisser was erg teleurgesteld, omdat hij voor de kers ging na slechts twee sets.;kers;0,33;
1;13;verb-final;correct;De winst van Anna's bedrijf was verdubbeld, omdat ze de wind in de zeilen had het afgelopen kwartaal.;zeilen;NA;
3;13;verb-final;literal;De winst van Anna's bedrijf was verdubbeld, omdat ze de wind in de doeken had het afgelopen kwartaal.;doeken;0,06;
5;13;verb-final;unrelated;De winst van Anna's bedrijf was verdubbeld, omdat ze de wind in de firma had het afgelopen kwartaal.;firma;0,03;
1;14;verb-final;correct;In principe was Victor de baas van het restaurant, omdat hij het heft in handen had sinds vorige zomer.;handen;NA;
3;14;verb-final;literal;In principe was Victor de baas van het restaurant, omdat hij het heft in wijsvinger had sinds vorige zomer.;wijsvinger;0,40;
5;14;verb-final;unrelated;In principe was Victor de baas van het restaurant, omdat hij het heft in zegels had sinds vorige zomer.;zegels;0,06;
1;15;verb-final;correct;Theo kon zijn ogen niet van Natascha afhouden, omdat hij vlinders in zijn buik kreeg van haar.;buik;NA;
3;15;verb-final;literal;Theo kon zijn ogen niet van Natascha afhouden, omdat hij vlinders in zijn navel kreeg van haar.;navel;0,28;
5;15;verb-final;unrelated;Theo kon zijn ogen niet van Natascha afhouden, omdat hij vlinders in zijn pech kreeg van haar.;pech;0,30;
1;16;verb-final;correct;De corrupte bankdirecteur ging vrijuit, omdat zijn collega hem de hand boven het hoofd hield tijdens het onderzoek.;hoofd;NA;
3;16;verb-final;literal;De corrupte bankdirecteur ging vrijuit, omdat zijn collega hem de hand boven het gezicht hield tijdens het onderzoek.;gezicht;0,57;
5;16;verb-final;unrelated;De corrupte bankdirecteur ging vrijuit, omdat zijn collega hem de hand boven het meer hield tijdens het onderzoek.;meer;0,10;
1;17;verb-final;correct;Irene kon niet ongezien weglopen, omdat haar ouders haar in de gaten hielden vanuit de woonkamer.;gaten;NA;
3;17;verb-final;literal;Irene kon niet ongezien weglopen, omdat haar ouders haar in de kousen hielden vanuit de woonkamer.;kousen;0,18;
5;17;verb-final;unrelated;Irene kon niet ongezien weglopen, omdat haar ouders haar in de beesten hielden vanuit de woonkamer.;beesten;0,15;
1;18;verb-final;correct;De inheemse bevolking kon geen kant op, omdat de machthebbers hen onder de duim hielden tijdens de oorlog.;duim;NA;
3;18;verb-final;literal;De inheemse bevolking kon geen kant op, omdat de machthebbers hen onder de pink hielden tijdens de oorlog.;pink;0,49;
5;18;verb-final;unrelated;De inheemse bevolking kon geen kant op, omdat de machthebbers hen onder de klok hielden tijdens de oorlog.;klok;0,70;
1;19;verb-final;correct;De huurmoordenaar kreeg een zware celstraf, omdat hij een drugsbaron om zeep hielp op de parkeerplaats.;zeep;NA;
3;19;verb-final;literal;De huurmoordenaar kreeg een zware celstraf, omdat hij een drugsbaron om schuim hielp op de parkeerplaats.;schuim;0,34;
5;19;verb-final;unrelated;De huurmoordenaar kreeg een zware celstraf, omdat hij een drugsbaron om trein hielp op de parkeerplaats.;trein;0,04;
1;20;verb-final;correct;Eva's computerprobleem was snel verholpen, omdat Ernst haar uit de brand hielp vanochtend.;brand;NA;
3;20;verb-final;literal;Eva's computerprobleem was snel verholpen, omdat Ernst haar uit de vonk hielp vanochtend.;vonk;0,25;
5;20;verb-final;unrelated;Eva's computerprobleem was snel verholpen, omdat Ernst haar uit de schep hielp vanochtend.;schep;0,14;
1;21;verb-final;correct;Dirk wist nu dat hij geen piloot kon worden, omdat de selectiecommissie hem uit de droom hielp tijdens de selectiedag.;droom;NA;
3;21;verb-final;literal;Dirk wist nu dat hij geen piloot kon worden, omdat de selectiecommissie hem uit de wens hielp tijdens de selectiedag.;wens;0,39;
5;21;verb-final;unrelated;Dirk wist nu dat hij geen piloot kon worden, omdat de selectiecommissie hem uit de dwerg hielp tijdens de selectiedag.;dwerg;0,10;
1;22;verb-final;correct;Tijdens de spooktocht gilden de kinderen het uit, omdat Joris hen de stuipen op het lijf joeg in het bos.;lijf;NA;
3;22;verb-final;literal;Tijdens de spooktocht gilden de kinderen het uit, omdat Joris hen de stuipen op het skelet joeg in het bos.;skelet;0,40;
5;22;verb-final;unrelated;Tijdens de spooktocht gilden de kinderen het uit, omdat Joris hen de stuipen op het plein joeg in het bos.;plein;0,07;
1;23;verb-final;correct;Hilda vond Maarten een pestkop, omdat hij haar op de kast joeg met zijn getreiter.;kast;NA;
3;23;verb-final;literal;Hilda vond Maarten een pestkop, omdat hij haar op de stoel joeg met zijn getreiter.;stoel;0,56;
5;23;verb-final;unrelated;Hilda vond Maarten een pestkop, omdat hij haar op de stip joeg met zijn getreiter.;stip;0,09;
1;24;verb-final;correct;Bart zag dat zijn mop grappig was, omdat zijn vrienden in een deuk lagen op de bank.;deuk;NA;
3;24;verb-final;literal;Bart zag dat zijn mop grappig was, omdat zijn vrienden in een auto lagen op de bank.;auto;0,13;
5;24;verb-final;unrelated;Bart zag dat zijn mop grappig was, omdat zijn vrienden in een worm lagen op de bank.;worm;0,05;
1;25;verb-final;correct;Die starterswoningen werden razendsnel verkocht, omdat ze in de smaak vielen bij veel mensen.;smaak;NA;
3;25;verb-final;literal;Die starterswoningen werden razendsnel verkocht, omdat ze in de geur vielen bij veel mensen.;geur;0,85;
5;25;verb-final;unrelated;Die starterswoningen werden razendsnel verkocht, omdat ze in de reis vielen bij veel mensen.;reis;0,07;
1;26;verb-final;correct;Uiteindelijk werden de reorganisatieplannen wel duidelijk, omdat de directeur zijn kaarten op tafel legde gisterochtend.;tafel;NA;
3;26;verb-final;literal;Uiteindelijk werden de reorganisatieplannen wel duidelijk, omdat de directeur zijn kaarten op keuken legde gisterochtend.;keuken;0,58;
5;26;verb-final;unrelated;Uiteindelijk werden de reorganisatieplannen wel duidelijk, omdat de directeur zijn kaarten op winst legde gisterochtend.;winst;0,03;
1;27;verb-final;correct;De fraudeurs wisten hun witwaspraktijken te verbergen, omdat ze de agenten om de tuin leidden bij huiszoekingen.;tuin;NA;
3;27;verb-final;literal;De fraudeurs wisten hun witwaspraktijken te verbergen, omdat ze de agenten om de vijver leidden bij huiszoekingen.;vijver;0,17;
5;27;verb-final;unrelated;De fraudeurs wisten hun witwaspraktijken te verbergen, omdat ze de agenten om de klas leidden bij huiszoekingen.;klas;0,06;
2;28;verb-final;correct;Sascha merkte dat Nathan geschrokken was van het ongeluk, omdat hij uit zijn doen was maandagavond.;doen;NA;
4;28;verb-final;literal;Sascha merkte dat Nathan geschrokken was van het ongeluk, omdat hij uit zijn actie was maandagavond.;actie;0,13;
6;28;verb-final;unrelated;Sascha merkte dat Nathan geschrokken was van het ongeluk, omdat hij uit zijn spek was maandagavond.;spek;0,03;
2;29;verb-final;correct;Vera was erg tevreden over het verloop van het evenement, omdat het op rolletjes liep vorig weekend.;rolletjes;NA;
4;29;verb-final;literal;Vera was erg tevreden over het verloop van het evenement, omdat het op papiertjes liep vorig weekend.;papiertjes;0,14;
6;29;verb-final;unrelated;Vera was erg tevreden over het verloop van het evenement, omdat het op gedachtes liep vorig weekend.;gedachtes;0,02;
2;30;verb-final;correct;Neeltje zei dat Floris wel iets zuiniger mocht leven, omdat hij een gat in zijn hand had sinds zijn loonsverhoging.;hand;NA;
4;30;verb-final;literal;Neeltje zei dat Floris wel iets zuiniger mocht leven, omdat hij een gat in zijn pols had sinds zijn loonsverhoging.;pols;0,56;
6;30;verb-final;unrelated;Neeltje zei dat Floris wel iets zuiniger mocht leven, omdat hij een gat in zijn nest had sinds zijn loonsverhoging.;nest;0,06;
2;31;verb-final;correct;Bij die protestactie moest de oproerpolitie optreden, omdat het uit de klauwen liep op het Malieveld.;klauwen;NA;
4;31;verb-final;literal;Bij die protestactie moest de oproerpolitie optreden, omdat het uit de beren liep op het Malieveld.;beren;0,36;
6;31;verb-final;unrelated;Bij die protestactie moest de oproerpolitie optreden, omdat het uit de tegels liep op het Malieveld.;tegels;0,03;
2;32;verb-final;correct;Alieke vond dat Alex wel iets bescheidener mocht zijn, omdat hij naast zijn schoenen liep zo langzamerhand.;schoenen;NA;
4;32;verb-final;literal;Alieke vond dat Alex wel iets bescheidener mocht zijn, omdat hij naast zijn veters liep zo langzamerhand.;veters;0,47;
6;32;verb-final;unrelated;Alieke vond dat Alex wel iets bescheidener mocht zijn, omdat hij naast zijn wapens liep zo langzamerhand.;wapens;0,07;
2;33;verb-final;correct;Johan ontdekte dat de HAVO eigenlijk te moeilijk voor hem was, omdat hij op zijn tenen liep het afgelopen jaar.;tenen;NA;
4;33;verb-final;literal;Johan ontdekte dat de HAVO eigenlijk te moeilijk voor hem was, omdat hij op zijn dijen liep het afgelopen jaar.;dijen;0,42;
6;33;verb-final;unrelated;Johan ontdekte dat de HAVO eigenlijk te moeilijk voor hem was, omdat hij op zijn parken liep het afgelopen jaar.;parken;0,04;
2;34;verb-final;correct;Groningen zal geen last meer hebben van die pyromaan, omdat hij tegen de lamp liep dinsdagavond.;lamp;NA;
4;34;verb-final;literal;Groningen zal geen last meer hebben van die pyromaan, omdat hij tegen de kaars liep dinsdagavond.;kaars;0,51;
6;34;verb-final;unrelated;Groningen zal geen last meer hebben van die pyromaan, omdat hij tegen de markt liep dinsdagavond.;markt;0,04;
2;35;verb-final;correct;Het was dom van de minister om de omstreden Betuwelijn zo te prijzen, omdat hij olie op het vuur gooide daardoor.;vuur;NA;
4;35;verb-final;literal;Het was dom van de minister om de omstreden Betuwelijn zo te prijzen, omdat hij olie op het kamp gooide daardoor.;kamp;0,26;
6;35;verb-final;unrelated;Het was dom van de minister om de omstreden Betuwelijn zo te prijzen, omdat hij olie op het plan gooide daardoor.;plan;0,03;
2;36;verb-final;correct;Uiteindelijk bekende de dief toch schuld, omdat de agent hem uit zijn tent lokte in de verhoorkamer.;tent;NA;
4;36;verb-final;literal;Uiteindelijk bekende de dief toch schuld, omdat de agent hem uit zijn camping lokte in de verhoorkamer.;camping;0,39;
6;36;verb-final;unrelated;Uiteindelijk bekende de dief toch schuld, omdat de agent hem uit zijn blad lokte in de verhoorkamer.;blad;0,05;
2;37;verb-final;correct;Na lang twijfelen deed Sara toch mee, omdat Steven haar over de streep trok met zijn argumenten.;streep;NA;
4;37;verb-final;literal;Na lang twijfelen deed Sara toch mee, omdat Steven haar over de lijn trok met zijn argumenten.;lijn;0,10;
6;37;verb-final;unrelated;Na lang twijfelen deed Sara toch mee, omdat Steven haar over de lach trok met zijn argumenten.;lach;0,24;
2;38;verb-final;correct;Uiteindelijk wist de rechercheur alles van de verdachte, omdat hij hem onder de loep nam in zijn onderzoek.;loep;NA;
4;38;verb-final;literal;Uiteindelijk wist de rechercheur alles van de verdachte, omdat hij hem onder de bril nam in zijn onderzoek.;bril;0,46;
6;38;verb-final;unrelated;Uiteindelijk wist de rechercheur alles van de verdachte, omdat hij hem onder de keus nam in zijn onderzoek.;keus;0,05;
2;39;verb-final;correct;Na het overlijden van zijn ouders hoefde David niet naar een pleeggezin, omdat opa hem onder zijn vleugels nam gelukkig.;vleugels;NA;
4;39;verb-final;literal;Na het overlijden van zijn ouders hoefde David niet naar een pleeggezin, omdat opa hem onder zijn vliegtuig nam gelukkig.;vliegtuig;0,43;
6;39;verb-final;unrelated;Na het overlijden van zijn ouders hoefde David niet naar een pleeggezin, omdat opa hem onder zijn kamer nam gelukkig.;kamer;0,02;
2;40;verb-final;correct;Kristel vond dat Paul haar te weinig uitdaagde, omdat hij haar naar de mond praatte elke keer.;mond;NA;
4;40;verb-final;literal;Kristel vond dat Paul haar te weinig uitdaagde, omdat hij haar naar de kus praatte elke keer.;kus;0,24;
6;40;verb-final;unrelated;Kristel vond dat Paul haar te weinig uitdaagde, omdat hij haar naar de test praatte elke keer.;test;0,04;
2;41;verb-final;correct;Het was duidelijk dat de directeur Stefans gespijbel ontdekt had, omdat hij hem op het matje riep maandagochtend.;matje;NA;
4;41;verb-final;literal;Het was duidelijk dat de directeur Stefans gespijbel ontdekt had, omdat hij hem op het tapijt riep maandagochtend.;tapijt;0,28;
6;41;verb-final;unrelated;Het was duidelijk dat de directeur Stefans gespijbel ontdekt had, omdat hij hem op het bestand riep maandagochtend.;bestand;-0,02;
2;42;verb-final;correct;De selectieprocedure was erg streng, omdat de toelatingscommissie het kaf van het koren scheidde voor die opleiding.;koren;NA;
4;42;verb-final;literal;De selectieprocedure was erg streng, omdat de toelatingscommissie het kaf van het meel scheidde voor die opleiding.;meel;0,51;
6;42;verb-final;unrelated;De selectieprocedure was erg streng, omdat de toelatingscommissie het kaf van het einde scheidde voor die opleiding.;einde;0,02;
2;43;verb-final;correct;Nadia schrok van Hendriks boze reactie, omdat hij uit zijn slof schoot vanuit het niets.;slof;NA;
4;43;verb-final;literal;Nadia schrok van Hendriks boze reactie, omdat hij uit zijn thuis schoot vanuit het niets.;thuis;0,13;
6;43;verb-final;unrelated;Nadia schrok van Hendriks boze reactie, omdat hij uit zijn roem schoot vanuit het niets.;roem;0,01;
2;44;verb-final;correct;Het was onmogelijk dat Michelle nog moe was, omdat ze een gat in de dag sliep zondag.;dag;NA;
4;44;verb-final;literal;Het was onmogelijk dat Michelle nog moe was, omdat ze een gat in de week sliep zondag.;week;0,69;
6;44;verb-final;unrelated;Het was onmogelijk dat Michelle nog moe was, omdat ze een gat in de sik sliep zondag.;sik;0,11;
2;45;verb-final;correct;Aljan kon Aïda al niet meer versieren, omdat Michiel haar aan de haak sloeg vorige week.;haak;NA;
4;45;verb-final;literal;Aljan kon Aïda al niet meer versieren, omdat Michiel haar aan de vis sloeg vorige week.;vis;0,66;
6;45;verb-final;unrelated;Aljan kon Aïda al niet meer versieren, omdat Michiel haar aan de stoep sloeg vorige week.;stoep;0,09;
2;46;verb-final;correct;Bas ontdekte dat zijn conditie erg slecht was, omdat hij naar adem snakte na de hardlooptraining.;adem;NA;
4;46;verb-final;literal;Bas ontdekte dat zijn conditie erg slecht was, omdat hij naar leven snakte na de hardlooptraining.;leven;0,20;
6;46;verb-final;unrelated;Bas ontdekte dat zijn conditie erg slecht was, omdat hij naar oven snakte na de hardlooptraining.;oven;0,09;
2;47;verb-final;correct;Alita omschreef Lisa als opvliegend, omdat ze uit haar vel sprong bij het minste of geringste.;vel;NA;
4;47;verb-final;literal;Alita omschreef Lisa als opvliegend, omdat ze uit haar huid sprong bij het minste of geringste.;huid;1,00;
6;47;verb-final;unrelated;Alita omschreef Lisa als opvliegend, omdat ze uit haar erf sprong bij het minste of geringste.;erf;0,12;
2;48;verb-final;correct;Tijdens de verhuizing kon Nico Merel goed gebruiken, omdat ze haar handen uit de mouwen stak bij het inpakken.;mouwen;NA;
4;48;verb-final;literal;Tijdens de verhuizing kon Nico Merel goed gebruiken, omdat ze haar handen uit de jassen stak bij het inpakken.;jassen;0,44;
6;48;verb-final;unrelated;Tijdens de verhuizing kon Nico Merel goed gebruiken, omdat ze haar handen uit de kranten stak bij het inpakken.;kranten;0,04;
2;49;verb-final;correct;Tessa wilde nooit meer in dat rare T-shirt gymmen, omdat ze voor aap stond tijdens de les.;aap;NA;
4;49;verb-final;literal;Tessa wilde nooit meer in dat rare T-shirt gymmen, omdat ze voor mens stond tijdens de les.;mens;0,22;
6;49;verb-final;unrelated;Tessa wilde nooit meer in dat rare T-shirt gymmen, omdat ze voor vork stond tijdens de les.;vork;0,06;
2;50;verb-final;correct;Het was duidelijk dat juf Cindy geen treitergedrag duldde, omdat ze pestkoppen op de vingers tikte in de klas.;vingers;NA;
4;50;verb-final;literal;Het was duidelijk dat juf Cindy geen treitergedrag duldde, omdat ze pestkoppen op de ringen tikte in de klas.;ringen;0,26;
6;50;verb-final;unrelated;Het was duidelijk dat juf Cindy geen treitergedrag duldde, omdat ze pestkoppen op de schapen tikte in de klas.;schapen;0,07;
2;51;verb-final;correct;Meester besloot Chris geen straf te geven, omdat hij met de hand over het hart streek voor een keertje.;hart;NA;
4;51;verb-final;literal;Meester besloot Chris geen straf te geven, omdat hij met de hand over het bloed streek voor een keertje.;bloed;0,65;
6;51;verb-final;unrelated;Meester besloot Chris geen straf te geven, omdat hij met de hand over het paar streek voor een keertje.;paar;0,08;
2;52;verb-final;correct;Simon vond de service bij de Belastingdienst waardeloos, omdat ze hem van het kastje naar de muur stuurden zoals gewoonlijk.;muur;NA;
4;52;verb-final;literal;Simon vond de service bij de Belastingdienst waardeloos, omdat ze hem van het kastje naar de verf stuurden zoals gewoonlijk.;verf;0,17;
6;52;verb-final;unrelated;Simon vond de service bij de Belastingdienst waardeloos, omdat ze hem van het kastje naar de kaas stuurden zoals gewoonlijk.;kaas;0,06;
2;53;verb-final;correct;Het vraagstuk over de zorgverzekeringen leek complex te zijn, omdat de minister in het duister tastte bij het debat.;duister;NA;
4;53;verb-final;literal;Het vraagstuk over de zorgverzekeringen leek complex te zijn, omdat de minister in het licht tastte bij het debat.;licht;0,57;
6;53;verb-final;unrelated;Het vraagstuk over de zorgverzekeringen leek complex te zijn, omdat de minister in het servet tastte bij het debat.;servet;0,07;
2;54;verb-final;correct;Hanna kon blijkbaar niet met geld omgaan, omdat haar spaargeld als sneeuw voor de zon verdween tijdens de uitverkoop.;zon;NA;
4;54;verb-final;literal;Hanna kon blijkbaar niet met geld omgaan, omdat haar spaargeld als sneeuw voor de maan verdween tijdens de uitverkoop.;maan;0,28;
6;54;verb-final;unrelated;Hanna kon blijkbaar niet met geld omgaan, omdat haar spaargeld als sneeuw voor de prop verdween tijdens de uitverkoop.;prop;0,12;
3;55;verb-final;correct;Voor Romy voelde het kennismakingsgesprek als een verhoor, omdat de bedrijfsleider haar het hemd van het lijf vroeg gisteren.;lijf;NA;
5;55;verb-final;literal;Voor Romy voelde het kennismakingsgesprek als een verhoor, omdat de bedrijfsleider haar het hemd van het been vroeg gisteren.;been;0,24;
1;55;verb-final;unrelated;Voor Romy voelde het kennismakingsgesprek als een verhoor, omdat de bedrijfsleider haar het hemd van het gips vroeg gisteren.;gips;0,05;
3;56;verb-final;correct;In het leger deelde de commandant bevelen uit, omdat hij de touwtjes in handen had op de kazerne.;handen;NA;
5;56;verb-final;literal;In het leger deelde de commandant bevelen uit, omdat hij de touwtjes in vuisten had op de kazerne.;vuisten;0,49;
1;56;verb-final;unrelated;In het leger deelde de commandant bevelen uit, omdat hij de touwtjes in pruimen had op de kazerne.;pruimen;0,15;
3;57;verb-final;correct;Sander zag dat iedereen zijn outfit misplaatst vond, omdat hij voor paal stond op het feestje.;paal;NA;
5;57;verb-final;literal;Sander zag dat iedereen zijn outfit misplaatst vond, omdat hij voor stok stond op het feestje.;stok;0,13;
1;57;verb-final;unrelated;Sander zag dat iedereen zijn outfit misplaatst vond, omdat hij voor room stond op het feestje.;room;0,06;
3;58;verb-final;correct;Na haar verhuizing heeft Frederik Tanja nooit weer gezien, omdat hij haar uit het oog verloor op den duur.;oog;NA;
5;58;verb-final;literal;Na haar verhuizing heeft Frederik Tanja nooit weer gezien, omdat hij haar uit het blauw verloor op den duur.;blauw;0,26;
1;58;verb-final;unrelated;Na haar verhuizing heeft Frederik Tanja nooit weer gezien, omdat hij haar uit het gif verloor op den duur.;gif;0,08;
3;59;verb-final;correct;Psychiatrische patiënten hebben het moeilijk in deze maatschappij, omdat ze buiten de boot vallen door hun aandoening.;boot;NA;
5;59;verb-final;literal;Psychiatrische patiënten hebben het moeilijk in deze maatschappij, omdat ze buiten de kano vallen door hun aandoening.;kano;0,57;
1;59;verb-final;unrelated;Psychiatrische patiënten hebben het moeilijk in deze maatschappij, omdat ze buiten de kras vallen door hun aandoening.;kras;0,04;
3;60;verb-final;correct;Joops vrienden wisten al lang dat hij op mannen viel, omdat hij uit de kast kwam op zijn zestiende.;kast;NA;
5;60;verb-final;literal;Joops vrienden wisten al lang dat hij op mannen viel, omdat hij uit de kleren kwam op zijn zestiende.;kleren;0,43;
1;60;verb-final;unrelated;Joops vrienden wisten al lang dat hij op mannen viel, omdat hij uit de pijl kwam op zijn zestiende.;pijl;0,00;
3;61;verb-final;correct;Piet vond het begin van die opdracht makkelijk, omdat de juf hem op weg hielp in de les.;weg;NA;
5;61;verb-final;literal;Piet vond het begin van die opdracht makkelijk, omdat de juf hem op straat hielp in de les.;straat;0,21;
1;61;verb-final;unrelated;Piet vond het begin van die opdracht makkelijk, omdat de juf hem op pil hielp in de les.;pil;0,05;
3;62;verb-final;correct;Florian baalde van zijn kledingkeus, omdat hij uit de toon viel met zijn slobbertrui.;toon;NA;
5;62;verb-final;literal;Florian baalde van zijn kledingkeus, omdat hij uit de muziek viel met zijn slobbertrui.;muziek;0,34;
1;62;verb-final;unrelated;Florian baalde van zijn kledingkeus, omdat hij uit de post viel met zijn slobbertrui.;post;-0,04;
3;63;verb-final;correct;Laura had spijt dat ze niet eerder concertkaartjes had gekocht, omdat ze achter het net viste deze keer.;net;NA;
5;63;verb-final;literal;Laura had spijt dat ze niet eerder concertkaartjes had gekocht, omdat ze achter het web viste deze keer.;web;0,08;
1;63;verb-final;unrelated;Laura had spijt dat ze niet eerder concertkaartjes had gekocht, omdat ze achter het pad viste deze keer.;pad;0,02;
3;64;verb-final;correct;De verdachte kon de waarheid moeilijk verbergen, omdat de rechter hem aan de tand voelde over de zaak.;tand;NA;
5;64;verb-final;literal;De verdachte kon de waarheid moeilijk verbergen, omdat de rechter hem aan de pijn voelde over de zaak.;pijn;0,21;
1;64;verb-final;unrelated;De verdachte kon de waarheid moeilijk verbergen, omdat de rechter hem aan de kooi voelde over de zaak.;kooi;0,05;
3;65;verb-final;correct;Mohammed slaagde met gemak voor zijn wiskundetoets, omdat het een fluitje van een cent was met zijn rekenmachine.;cent;NA;
5;65;verb-final;literal;Mohammed slaagde met gemak voor zijn wiskundetoets, omdat het een fluitje van een euro was met zijn rekenmachine.;euro;0,39;
1;65;verb-final;unrelated;Mohammed slaagde met gemak voor zijn wiskundetoets, omdat het een fluitje van een plaat was met zijn rekenmachine.;plaat;0,06;
3;66;verb-final;correct;Lianne was enorm blij met Susans cadeau, omdat het een schot in de roos was van haar.;roos;NA;
5;66;verb-final;literal;Lianne was enorm blij met Susans cadeau, omdat het een schot in de doorn was van haar.;doorn;0,24;
1;66;verb-final;unrelated;Lianne was enorm blij met Susans cadeau, omdat het een schot in de vorm was van haar.;vorm;0,11;
3;67;verb-final;correct;Tijdens die moeilijke periode kon Angela niet zonder Gerrit, omdat hij een rots in de branding was voor haar.;branding;NA;
5;67;verb-final;literal;Tijdens die moeilijke periode kon Angela niet zonder Gerrit, omdat hij een rots in de golven was voor haar.;golven;0,33;
1;67;verb-final;unrelated;Tijdens die moeilijke periode kon Angela niet zonder Gerrit, omdat hij een rots in de tantes was voor haar.;tantes;0,04;
3;68;verb-final;correct;Saar vrolijkte Bastiaan altijd op, omdat zij het zonnetje in huis was binnen het gezin.;huis;NA;
5;68;verb-final;literal;Saar vrolijkte Bastiaan altijd op, omdat zij het zonnetje in villa was binnen het gezin.;villa;0,39;
1;68;verb-final;unrelated;Saar vrolijkte Bastiaan altijd op, omdat zij het zonnetje in volk was binnen het gezin.;volk;0,16;
